Country,Year,Total,Life_expectancy,Population
Andorra,1981,total,..,37169
Andorra,1982,female,..,17830
Andorra,1982,male,..,20934
Andorra,1982,total,..,38764
Andorra,1983,female,..,18775
Andorra,1983,male,..,21790
Andorra,1983,total,..,40565
Andorra,1984,female,..,19674
Andorra,1984,male,..,22599
Andorra,1984,total,..,42273
Andorra,1985,female,..,20503
Andorra,1985,male,..,23322
Andorra,1985,total,..,43825
Andorra,1986,female,..,21517
Andorra,1986,male,..,24217
Andorra,1986,total,..,45734
Andorra,1987,female,..,22471
Andorra,1987,male,..,25182
Andorra,1987,total,..,47653
Andorra,1988,female,..,23295
Andorra,1988,male,..,26121
Andorra,1988,total,..,49416
Andorra,1989,female,..,23966
Andorra,1989,male,..,26654
Andorra,1989,total,..,50620
Andorra,1990,female,..,24823
Andorra,1990,male,..,27774
Andorra,1990,total,..,52597
Andorra,1991,female,..,26515
Andorra,1991,male,..,30152
Andorra,1991,total,..,56667
Andorra,1992,female,..,28166
Andorra,1992,male,..,32034
Andorra,1992,total,..,60200
Andorra,1993,female,..,29576
Andorra,1993,male,..,33696
Andorra,1993,total,..,63272
Andorra,1994,female,..,30253
Andorra,1994,male,..,34359
Andorra,1994,total,..,64612
Andorra,1995,female,..,30143
Andorra,1995,male,..,33769
Andorra,1995,total,..,63912
Andorra,1996,female,..,30334
Andorra,1996,male,..,33650
Andorra,1996,total,..,63984
Andorra,1997,female,..,30743
Andorra,1997,male,..,33957
Andorra,1997,total,..,64700
Andorra,1998,female,..,31117
Andorra,1998,male,..,34265
Andorra,1998,total,..,65382
Andorra,1999,female,..,31371
Andorra,1999,male,..,34339
Andorra,1999,total,..,65710
Andorra,2000,female,..,31458
Andorra,2000,male,..,34227
Andorra,2000,total,..,65685
Andorra,2001,female,..,31636
Andorra,2001,male,..,34216
Andorra,2001,total,..,65852
Andorra,2002,female,..,32023
Andorra,2002,male,..,34483
Andorra,2002,total,..,66506
Andorra,2003,female,..,33429
Andorra,2003,male,..,36057
Andorra,2003,total,..,69486
Andorra,2004,female,..,35636
Andorra,2004,male,..,38689
Andorra,2004,total,..,74325
Andorra,2005,female,..,37047
Andorra,2005,male,..,40374
Andorra,2005,total,..,77421
Andorra,2006,female,..,38002
Andorra,2006,male,..,41583
Andorra,2006,total,..,79585
Andorra,2007,female,..,39026
Andorra,2007,male,..,42851
Andorra,2007,total,..,81877
Andorra,2008,female,..,39821
Andorra,2008,male,..,43674
Andorra,2008,total,..,83495
Andorra,2009,female,..,40123
Andorra,2009,male,..,43765
Andorra,2009,total,..,83888
Andorra,2010,female,..,39099
Andorra,2010,male,..,41607
Andorra,2010,total,..,80706
Andorra,2011,female,..,38101
Andorra,2011,male,..,39682
Andorra,2011,total,..,77783
Andorra,2012,female,..,37671
Andorra,2012,male,..,39163
Andorra,2012,total,..,76834
Andorra,2013,female,..,36953
Andorra,2013,male,..,38241
Andorra,2013,total,..,75194
Andorra,2014,female,..,36337
Andorra,2014,male,..,37400
Andorra,2014,total,..,73737
Andorra,2015,female,..,35669
Andorra,2015,male,..,36505
Andorra,2015,total,..,72174
Andorra,2016,female,..,35679
Andorra,2016,male,..,36502
Andorra,2016,total,..,72181
Andorra,2017,female,..,36364
Andorra,2017,male,..,37399
Andorra,2017,total,..,73763
Andorra,2018,female,..,36959
Andorra,2018,male,..,38203
Andorra,2018,total,..,75162
Andorra,2019,female,..,37559
Andorra,2019,male,..,38915
Andorra,2019,total,..,76474
Andorra,2020,female,..,37994
Andorra,2020,male,..,39386
Andorra,2020,total,..,77380
Andorra,2021,female,..,38353
Andorra,2021,male,..,40011
Andorra,2021,total,..,78364
Andorra,2022,female,..,38912
Andorra,2022,male,..,40793
Andorra,2022,total,..,79705
Andorra,2023,female,..,39502
Andorra,2023,male,..,41354
Andorra,2023,total,..,80856
Austria,1960,female,71.92,3764891
Austria,1960,male,65.41,3282648
Austria,1960,total,68.5856097560976,7047539
Austria,1961,female,72.84,3783504
Austria,1961,male,66.47,3302795
Austria,1961,total,69.5773170731707,7086299
Austria,1962,female,72.48,3804071
Austria,1962,male,66.29,3325793
Austria,1962,total,69.309512195122,7129864
Austria,1963,female,72.65,3825240
Austria,1963,male,66.39,3350571
Austria,1963,total,69.4436585365854,7175811
Austria,1964,female,73.2,3847021
Austria,1964,male,66.8,3376780
Austria,1964,total,69.9219512195122,7223801
Austria,1965,female,72.99,3867102
Austria,1965,male,66.61,3403787
Austria,1965,total,69.7221951219512,7270889
Austria,1966,female,73.37,3888149
Austria,1966,male,66.88,3433917
Austria,1966,total,70.0458536585366,7322066
Austria,1967,female,73.37,3911057
Austria,1967,male,66.63,3465941
Austria,1967,total,69.9178048780488,7376998
Austria,1968,female,73.52,3927517
Austria,1968,male,66.76,3487886
Austria,1968,total,70.0575609756098,7415403
Austria,1969,female,73.27,3938518
Austria,1969,male,66.56,3502537
Austria,1969,total,69.8331707317073,7441055
Austria,1970,female,73.5,3949122
Austria,1970,male,66.5,3517964
Austria,1970,total,69.9146341463415,7467086
Austria,1971,female,73.7,3963018
Austria,1971,male,66.7,3537464
Austria,1971,total,70.1146341463415,7500482
Austria,1972,female,74.1,3981424
Austria,1972,male,67,3562777
Austria,1972,total,70.4634146341463,7544201
Austria,1973,female,74.6,3998551
Austria,1973,male,67.6,3587564
Austria,1973,total,71.0146341463415,7586115
Austria,1974,female,74.7,4004843
Austria,1974,male,67.5,3594195
Austria,1974,total,71.0121951219512,7599038
Austria,1975,female,74.7,3998098
Austria,1975,male,67.7,3580805
Austria,1975,total,71.1146341463415,7578903
Austria,1976,female,75.1,3992645
Austria,1976,male,68.2,3572880
Austria,1976,total,71.5658536585366,7565525
Austria,1977,female,75.5,3993267
Austria,1977,male,68.5,3575163
Austria,1977,total,71.9146341463415,7568430
Austria,1978,female,75.7,3989655
Austria,1978,male,68.5,3572650
Austria,1978,total,72.0121951219512,7562305
Austria,1979,female,76,3983149
Austria,1979,male,68.8,3566276
Austria,1979,total,72.3121951219512,7549425
Austria,1980,female,76.1,3981998
Austria,1980,male,69,3567435
Austria,1980,total,72.4634146341463,7549433
Austria,1981,female,76.5,3988186
Austria,1981,male,69.3,3580524
Austria,1981,total,72.8121951219512,7568710
Austria,1982,female,76.7,3987477
Austria,1982,male,69.4,3586663
Austria,1982,total,72.9609756097561,7574140
Austria,1983,female,76.7,3978767
Austria,1983,male,69.5,3583143
Austria,1983,total,73.0121951219512,7561910
Austria,1984,female,77.3,3975523
Austria,1984,male,70.1,3585911
Austria,1984,total,73.6121951219512,7561434
Austria,1985,female,77.4,3973607
Austria,1985,male,70.4,3591378
Austria,1985,total,73.8146341463415,7564985
Austria,1986,female,77.8,3971398
Austria,1986,male,71,3598396
Austria,1986,total,74.3170731707317,7569794
Austria,1987,female,78.2,3968978
Austria,1987,male,71.5,3605608
Austria,1987,total,74.7682926829268,7574586
Austria,1988,female,78.7,3969261
Austria,1988,male,71.9,3616056
Austria,1988,total,75.2170731707317,7585317
Austria,1989,female,78.8,3980555
Austria,1989,male,71.9,3639012
Austria,1989,total,75.2658536585366,7619567
Austria,1990,female,79,4002436
Austria,1990,male,72.3,3675414
Austria,1990,total,75.5682926829269,7677850
Austria,1991,female,79.1,4033690
Austria,1991,male,72.3,3721201
Austria,1991,total,75.6170731707317,7754891
Austria,1992,female,79.3,4070958
Austria,1992,male,72.5,3769751
Austria,1992,total,75.8170731707317,7840709
Austria,1993,female,79.5,4098685
Austria,1993,male,72.8,3806948
Austria,1993,total,76.0682926829268,7905633
Austria,1994,female,79.8,4110155
Austria,1994,male,73.2,3825963
Austria,1994,total,76.419512195122,7936118
Austria,1995,female,80.1,4114223
